Name,type,ratings,latitude,longitude,place_id
Asistir Medicina en su Hogar,hospital,1,-24.7875425,-65.4123283,ChIJqR7ttrvDG5QRokD8E-BJPDs
INNUS (Instituto de Nefrourología y Nutrición de Salta),hospital,18,-24.7985444,-65.4140141,ChIJHylU78bDG5QRRcWB7fAA3Ms
centro de flebologia Dr. Sebastián Lachs,hospital,12,-24.7799313,-65.4157386,ChIJk-U8CbzDG5QRdYwXof3YaXk
Instituto Médico ALAS,hospital+doctor,145,-24.7799351,-65.4157943,ChIJNdlrBLjDG5QRMPGrCn7x7dg
Las torres gemelas (etc),primary_school+school,0,-24.8454314,-65.4346608,ChIJLyFNIwDDG5QRnKA5HFmLPC4
CEDISA Centro de Diálisis Salta,hospital,9,-24.7747125,-65.4105189,ChIJ_Ydry8bDG5QRKJJPI-6N-Nk
Centro de Ortopedia y Traumatologia,hospital,1,-24.785263,-65.4053979,ChIJDyJfZL7DG5QRMw4lBVpEsKk
Universidad Provincial de Administración; Tecnología y Oficios,university,17,-24.7858665,-65.4015199,ChIJYzeFVZbDG5QRt4FyZvmBzdw
Sonia pellegrini,hospital,0,-24.7857533,-65.4014275,ChIJd4up85PDG5QRKrc2Pmp_Wf0
Consultorios Fisiokinésicos,hospital,0,-24.7785499,-65.410181,ChIJL16GVb_DG5QRdiEmX-JzFwE
Anexo Centro UCASAL,university,77,-24.7993777,-65.4164112,ChIJ8-9x1qfDG5QRJr_7ZZJ2iWo
C.E.P.,hospital,0,-24.7975486,-65.4046898,ChIJo735h5_DG5QRGgD6F24dp70
Consultorios Santa Fe,hospital,1,-24.7976016,-65.4046774,ChIJ9eHzKKDDG5QR7mgY2XvTcjU
Consultorio San Juan,hospital,1,-24.7974301,-65.4046202,ChIJvcOdiD3DG5QRphnLtKNJP0Q
"Escuela de Educación Técnica N° 3138 ""Alberto Einstein""",secondary_school+school,152,-24.8002446,-65.4108124,ChIJD-FmUafDG5QRFNBsyimPLQc
Hosteria 1,hospital,0,-24.8002251,-65.4101357,ChIJa6UB3IXDG5QRpw-aiOfztS4
Escuela América Latina N° 4006,primary_school+school,0,-24.8018256,-65.4478797,ChIJH7cqbS7DG5QRIw-ZMowgI0Y
Grupo Llaya,hospital,11,-24.78557,-65.4021954,ChIJfzJerZfDG5QR6OD2eNEYLMM
Invernadero,university,0,-24.7411026,-65.4118452,ChIJ23SPTPHBG5QRMiR06bclsgI
C.I.S. (Centro Interdisciplinario de Salud),hospital,0,-24.7902842,-65.4003431,ChIJ8RDxEgDDG5QRW6hgIGgaIFs
UPATECO Universidad Provincial de Salta,university,0,-24.7457013,-65.4029671,ChIJZ6t7EgDBG5QR_OS-t4q20vM
"Escuela Agrícola N° 3122 ""Gral. Martín Miguel de Güemes""",secondary_school+university,55,-24.831975,-65.4455092,ChIJsw9fAsfCG5QRgmDCR9RuhcY
Salón de actos,secondary_school+school,1,-24.8323104,-65.4450557,ChIJideBsdvDG5QRNKOK5Ks4YIQ
Vitae,hospital,36,-24.7723869,-65.4119329,ChIJ6Q1nB5nDG5QRhYIoc7xLU7U
Dirección de Nutrición y Alimentación Saludable,hospital,0,-24.7867304,-65.4214698,ChIJ2z_xT7HDG5QRAmIvUYBk19M
Neofenix,hospital,1,-24.7907524,-65.4134227,ChIJbxwyKKXDG5QRcwie0abQPIY
Centro Vecinal Villa Belgrano,gym+school,23,-24.7708163,-65.4035129,ChIJLSW16OnDG5QRhTFcwKet2X0
Universidad Católica de Salta,university,891,-24.7399601,-65.3918446,ChIJq6qqmk_BG5QRd0JWOQLG2mk
Escuela Universitaria de Educación Fisica-UCASAL,university,5,-24.740773,-65.393524,ChIJkYKqaUXBG5QRiMhXtPmbUNM
UCASAL,university,4,-24.7413357,-65.3936897,ChIJnXHsZxTBG5QRY_PU4-B5em0
Aulas Economía,university,0,-24.7406351,-65.3923652,ChIJD0H1aADBG5QRQvqNhDuQ8p0
"Aula Magna ""Michel Torino""",university,15,-24.7409371,-65.3919614,ChIJeY_dp87BG5QRa0v8KO90XAM
Aulas de Usos Múltiples II - UCASAL,university,6,-24.7392524,-65.3918984,ChIJwSkKC3HBG5QRk9LOZtbOAd0
Don Emilio salta,university,0,-24.7408484,-65.3908931,ChIJA2s9SADBG5QRxBUrDPpqS8Y
Fundación Lucens,hospital+doctor,2,-24.7865132,-65.4233071,ChIJuzMW9rPDG5QRvkPh_nRdDZw
Escuela de Hotelería Vatel,university+school,2,-24.7867174,-65.422687,ChIJu6Ll17rDG5QRsgYJ4Degrmo
Centro Cultural Chakana Libre,university,0,-24.7816632,-65.3997973,ChIJs3HiUgDDG5QR348K59kInrA
