Name,type,ratings,latitude,longitude,place_id
Especias Doña Crisanta,grocery_or_supermarket,3,-24.7687199,-65.3950389,ChIJQ8yfge_DG5QRgsjTn837h1M
HTM SA,car_repair,0,-24.7810532,-65.4002083,ChIJ95tmHuDDG5QRjDUlc_xgM2s
Consultora DROIT,accounting,1,-24.7806418,-65.4005131,ChIJgZkuRJTDG5QR6vl7RaLoZaI
TIAMA BEBIDAS,liquor_store,4,-24.7943627,-65.3924275,ChIJ1d4aW1XDG5QR0hf8fPz2wr0
Carniceria ANTO,grocery_or_supermarket,16,-24.7485745,-65.4034673,ChIJOU-t7F3BG5QRPp1ZaZBZoBs
Maderera Misiones,home_goods_store,87,-24.7486294,-65.4035105,ChIJ7Sst7F3BG5QR-PsUJWG9diw
Loteria de Salta,school,2,-24.7482239,-65.403026,ChIJqVwPPzjBG5QRHOBistqRNmk
Carniceria Rodrigo,grocery_or_supermarket,0,-24.7480789,-65.4032273,ChIJbzPplF3BG5QR4_WEcihvQAk
Tomy Morales,car_repair,0,-24.7486234,-65.4040512,ChIJozTw813BG5QRRlKJJTqG5JQ
Limpia Mugre,clothing_store,0,-24.7487165,-65.4041033,ChIJH_qs9l3BG5QRje5qB_loCRk
AmorArte,clothing_store,0,-24.7495701,-65.4034286,ChIJuTOKLQDBG5QRZ2nRKWfM2Q8
Tia dominga,lodging,1,-24.7493352,-65.4025236,ChIJW0u5Ex7BG5QR6R4TjP4kFDI
Consultora TRES,accounting,1,-24.7742328,-65.4014785,ChIJTWVmAOvDG5QRnzM0-pNwMt0
MEC jugos naturales,clothing_store,4,-24.7742302,-65.4014732,ChIJ09HsWfzDG5QRJVWApaAiWro
Grandes Carnicerias Koki,clothing_store,2,-24.7743823,-65.4019386,ChIJWX6j-OrDG5QRRWBSugO-Vj8
La Pampita,restaurant,0,-24.7743914,-65.4019386,ChIJOaOk-OrDG5QReGsGtftaXpg
ReCCUpero Grizzly,clothing_store,0,-24.7745767,-65.4012877,ChIJq2UfpMvDG5QRaeNWphH4fTQ
Fundación Numen Danza,clothing_store,14,-24.7741669,-65.4020477,ChIJb0A1WerDG5QRJckAjBVYCBE
ENACOM Salta,lodging,18,-24.7862835,-65.402357,ChIJ63lBsZfDG5QRYQ2QoAETDRw
Ikba,clothing_store,1,-24.7865961,-65.4020091,ChIJC_lrpJfDG5QR0P_4MqZG-Zc
Distribuidora Pepe,grocery_or_supermarket,0,-24.7867322,-65.4027139,ChIJsbwrvrzDG5QRf9nL_Nuussk
VII Congreso Eucarístico Nacional--Salta,clothing_store,2,-24.7868758,-65.4024706,ChIJcbYMrD_DG5QRXLXZ2eHkTAw
Kallpay SA,car_repair,0,-24.7864769,-65.4019715,ChIJt5PvqdzDG5QRfRIg4qIADJI
Salta Ministerio de Gobierno Seguridad,local_government_office,0,-24.7868537,-65.402209,ChIJK0CpopfDG5QRBhvtZSnsIdU
MUEBLERIA CALDERON,furniture_store+home_goods_store,0,-24.8546896,-65.4351964,ChIJlUjyGyzdG5QR7ODyLwh0tnM
Matilde Carre o,clothing_store,3,-24.8545477,-65.4367077,ChIJQV0rJCzdG5QRXDE-oQEb8-s
Incluyeme Gabinete Pedagogico,clothing_store,0,-24.8540315,-65.4336275,ChIJB4KF3BTdG5QRMtnKV_ufvOM
Bancario Voley Club sele,clothing_store,23,-24.8550055,-65.4367587,ChIJn9uoXIbdG5QRodJazlgHyC4
Carniceria La Meka,grocery_or_supermarket,0,-24.8524254,-65.4334915,ChIJr0DdhCvdG5QRK6RoPAUVy4U
Club Gimnasia Y Tiro,gym,284,-24.851104,-65.4358513,ChIJNe1f6izdG5QRhptU6ulOzUo
D'origen Natural,grocery_or_supermarket,4,-24.8519433,-65.4336895,ChIJW0kNLADdG5QRnvjmb_u5zfs
Divina Misericordia,clothing_store,0,-24.8548701,-65.4338853,ChIJzydi1rrdG5QRqnEJpjSSFnU
Rodrigo Romano Tattoo,clothing_store,1,-24.8554552,-65.4348756,ChIJrdIPXr_dG5QRY9M3C6Bstqo
Feliz Día Gama,grocery_or_supermarket,0,-24.8549225,-65.43384,ChIJxaHCVSndG5QRu1sB5v1IzAA
Deer Leather Desings,clothing_store,0,-24.8549549,-65.4373911,ChIJ0WzKsuTdG5QRPB5-m53ICPE
Carnicerías FRIAR Salta,lodging,159,-24.7862059,-65.427622,ChIJE5TlsLTDG5QRKSPkHdDHGm0
Gabriel A Grinblat,clothing_store,0,-24.7862188,-65.4274516,ChIJdx0iurTDG5QRO8A58vvkxNw
GRUPO LUXEM SALTA,car_repair,1,-24.7862676,-65.4271986,ChIJtxRku7TDG5QRdHfm8exxiEA
Instituto Superior de Formación Docente Dr. Facundo de Zuviría N° 8037,school,38,-24.7897056,-65.4054155,ChIJlcQUlqLDG5QRPO_Laf-WQ5o
OSPAT,clothing_store,5,-24.7896019,-65.4053807,ChIJOQECYL7DG5QRWuYfwipp6gg
Imagenes Jaraba,clothing_store,47,-24.789584,-65.4054529,ChIJkbOfCbzDG5QRIJ5hS_Godrs
Napay Sunqu Srl,car_repair,6,-24.789524,-65.4053691,ChIJB3ywQrrDG5QRELTUXKyWH94
Consultorios alitas,doctor,0,-24.7892629,-65.4054226,ChIJu44mPwDDG5QRtcbjwhTWTdY
Espacios Psicomotricidad,restaurant,0,-24.7892629,-65.4054226,ChIJBS4WULXDG5QRQUlpikWZmSo
UP SOLUCIONES,electronics_store,0,-24.7899479,-65.4055068,ChIJjUWjA6HDG5QRqwnrKkmS3qE
.,clothing_store,17,-24.7892094,-65.4054149,ChIJ6SE-rKLDG5QR3my2zcVwICU
Sigar S.A.,clothing_store,1,-24.7850324,-65.4036701,ChIJfwkb9SXDG5QR9t7KlJR7FF4
Finisterre Seguros,insurance_agency,0,-24.7850362,-65.4030003,ChIJ7VHZN5bDG5QR-5rp6Ytbmvo
Salteño Vibe,clothing_store,3,-24.7854897,-65.4033816,ChIJi6Wi6hnDG5QR7r8ifpv0aZc
Centro Regional de Hemoterapia Salta,hospital,74,-24.7810019,-65.420138,ChIJJ062OrbDG5QRv41H5e59tSk
Programa Laboratorio Ambiental - Sec. de Recrusos Hídricos,clothing_store,0,-24.7812461,-65.4204714,ChIJA2T3O7bDG5QR61XwKUm0kpY
Asociación de Donantes Solidarios Rh Negativo Salta,clothing_store,0,-24.7810019,-65.420138,ChIJu4cq7inDG5QRLe2ciGZ0Fvs
