Name,type,ratings,latitude,longitude,place_id
Vicente Lopez y Av. Constitucion Nacional,bus_station+transit_station,0,-24.7526027,-65.4066472,ChIJiaRS92DBG5QRB62_Qze7U7c
Jardín maternal VeoVeo,school,2,-24.752143,-65.4076307,ChIJgdukH3nBG5QR41p7a4GAc2A
Consultora just y ayurdevas,,0,-24.7528467,-65.4067598,ChIJA5mOxUHDG5QRcjR40j74oec
Taller Billy Competiciones,car_repair,19,-24.7518055,-65.4066271,ChIJF2eW6GDBG5QRf5z7BFOIRhc
Elizabeth Aparicio,,0,-24.7528615,-65.4067446,ChIJd6LPrb_BG5QRVljsdbfBSHM
Vidrios Norte,,29,-24.7529283,-65.4068154,ChIJgQSHucDDG5QRwn6eu4L6Ubg
PELUQUERÍA Y BARBERIA GISEL,hair_care,6,-24.7529739,-65.4070759,ChIJ83CjvBnBG5QR1Vp_9vdg9gc
Expocarpas,,2,-24.7520217,-65.4063235,ChIJd_Qp7GDBG5QRKnJ_hVzriPk
"Pre Jardin ""Angel de la guarda""",school,3,-24.7514784,-65.4071388,ChIJcTWJ3mDBG5QRU7QAZ9U9F5g
Despensa La Esquina De La Abu,home_goods_store,5,-24.753085,-65.4066541,ChIJP5cNcw_BG5QRBH8lzSKGEs0
M y G Artesanias Salta,home_goods_store,1,-24.7531204,-65.4067357,ChIJK8rlbO7BG5QR14bag8Cnu6g
Carnicería Agu,,8,-24.7514178,-65.4069679,ChIJn64oJyTBG5QR2tidUQX9w5w
Despensa El Mono,,0,-24.7530324,-65.4064595,ChIJ-cvvWGDBG5QRUB9I7fOg0iM
Kiosco San jorge 24 HS,restaurant,5,-24.7529608,-65.4077472,ChIJwx8ot7_BG5QRyXWApcmRMng
Estudió Juridico Marinaro Montalbetti Abogados,lawyer,0,-24.7790073,-65.4084658,ChIJ9TDBab_DG5QRFN-0AgpMSIU
Carnes La argentina,,12,-24.7787368,-65.4085499,ChIJ90zTK_7DG5QRYE2Mvd7f8r0
Zuviria y Necochea,bus_station+transit_station,1,-24.7788639,-65.4084889,ChIJ6bLpZb_DG5QR48BONlqvMVA
Bachillerato Humanista Moderno,primary_school+school,9,-24.778797,-65.4090808,ChIJndoRWb_DG5QRkmAlH6x3rZw
Laboratorio de Especialidades Bioquímicas LEB,,11,-24.7789031,-65.4084489,ChIJUxXHZb_DG5QRUd367UK9_PQ
Piel De Angel,clothing_store,0,-24.7789976,-65.4084756,ChIJf49Db7_DG5QRaDPUSHid_4I
PABLO MARINARO MONTALBETTI - ESTUDIO JURIDICO,,0,-24.7789851,-65.4084197,ChIJ_cfu0nPDG5QRL-O3qNpdDyU
EL JARDIN DE MERLIN,school,0,-24.7785039,-65.4088774,ChIJtUlsB1_DG5QR9mRQ7vaXGgU
instituto superior de educacion profesional n° 8232,,9,-24.7785039,-65.4088774,ChIJUdollD3DG5QRmfo9E7k9w5c
Simesen de Bielke y Asoc.,accounting,0,-24.7791054,-65.408497,ChIJeUPHbr_DG5QRs-7VsIISfmQ
Neurología Srl,pharmacy,0,-24.7785872,-65.4084392,ChIJwT8hZL_DG5QRFXxIK8xBjGA
Laboratorios Bioquímicos MZ Zona Norte,,63,-24.7785775,-65.4084305,ChIJwT8hZL_DG5QR8W1fJEE5UvQ
Fisios,,5,-24.7785463,-65.4084213,ChIJkWGDY7_DG5QR5MgDTQ-lxtE
